Time,lat,long,rssi,Points
26/07/2024 14:06,51.5384673,-0.0101796,-100,198
26/07/2024 14:08,51.5384673,-0.0101796,-105,199
26/07/2024 14:10,51.5384673,-0.0101796,-101,200
26/07/2024 14:12,51.5384673,-0.0101796,-98,201
26/07/2024 14:16,51.5384673,-0.0101796,-105,202
26/07/2024 14:18,51.5384673,-0.0101796,-103,203
26/07/2024 14:20,51.5384673,-0.0101796,-34,204
26/07/2024 14:22,51.5384673,-0.0101796,-96,205
26/07/2024 14:24,51.5384673,-0.0101796,-37,206
26/07/2024 14:26,51.5384673,-0.0101796,-101,207
26/07/2024 14:28,51.5384673,-0.0101796,-105,208
26/07/2024 14:30,51.5384673,-0.0101796,-41,209
26/07/2024 14:32,51.5384673,-0.0101796,-46,210
26/07/2024 14:34,51.5384673,-0.0101796,-54,211
26/07/2024 14:36,51.5384673,-0.0101796,-43,212
26/07/2024 14:38,51.5384673,-0.0101796,-36,213
26/07/2024 14:42,51.537739,-0.0099651,-82,214
26/07/2024 14:44,51.5372098,-0.0087321,-106,215
26/07/2024 14:46,51.5364538,-0.0074338,-85,216
26/07/2024 14:48,51.5358165,-0.0062749,-98,217
26/07/2024 14:50,51.5346392,-0.0062613,-98,218
26/07/2024 14:52,51.5343915,-0.0072954,-84,219
26/07/2024 14:55,51.5336172,-0.0075791,-105,220
26/07/2024 14:56,51.5326797,-0.0089714,-105,221
26/07/2024 14:59,51.5317243,-0.0102931,-103,222
26/07/2024 15:03,51.5309655,-0.0114663,-101,223
26/07/2024 15:08,51.5313827,-0.0146971,-114,224
26/07/2024 15:10,51.5328467,-0.0147141,-106,225
26/07/2024 15:12,51.53483,-0.01306,-115,226
26/07/2024 15:15,51.5336155,-0.0132976,-97,227
26/07/2024 15:17,51.535673,-0.0135299,-86,228
26/07/2024 15:18,51.5359925,-0.0118796,-88,229
26/07/2024 15:20,51.5368432,-0.0105178,-93,230
26/07/2024 15:22,51.53773,-0.0092073,-85,231
26/07/2024 15:24,51.5385602,-0.0082926,-93,232
26/07/2024 15:26,51.53866,-0.00712,-114,233
26/07/2024 15:28,51.53854,-0.02512,-98,234
26/07/2024 15:32,51.53787,-0.02697,-110,235
26/07/2024 15:36,51.53611,-0.02384,-90,236
26/07/2024 15:38,51.53835,-0.02208,-100,237
26/07/2024 15:42,51.54473,-0.00856,-91,238
26/07/2024 15:46,51.54938,-0.01075,-111,239
26/07/2024 15:50,51.55511,-0.01602,-113,240
26/07/2024 15:52,51.54579,-0.0122,-91,241
26/07/2024 17:58,51.5344,-0.02143,-85,242
26/07/2024 18:15,51.53553,-0.0207,-79,243
26/07/2024 18:17,51.5347,-0.02141,-80,244
26/07/2024 18:27,51.53736,-0.02818,-115,245
